Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
1;41;5;4;52;30;33
2;9;39;37;49;43;41
3;36;30;10;11;29;47
;;;;;;
4;6;59;42;27;1;5
5;1;19;46;6;16;2
6;19;40;7;13;22;47
7;56;38;21;20;3;5
8;53;17;38;4;47;37
9;55;43;56;54;8;60
10;25;4;18;57;21;38
11;25;15;58;37;59;38
12;20;27;43;16;19;4
13;47;32;50;54;18;56
14;16;2;27;47;23;53
15;60;12;33;52;35;51
16;60;58;49;32;20;34
17;10;20;6;19;51;13
18;37;36;56;27;42;23
19;5;25;12;10;60;24
20;25;28;30;33;51;11
21;49;46;6;53;33;36
22;9;38;56;1;31;46
23;17;52;51;59;39;37
24;1;8;14;28;33;43
25;56;50;55;54;24;43
26;50;53;57;10;58;22
27;44;33;13;51;17;20
28;60;6;22;3;24;54
29;14;56;58;8;43;3
30;38;50;7;29;15;14
31;56;19;28;48;17;45
32;43;33;14;36;5;44
33;5;33;49;17;42;39
34;15;13;57;53;40;17
35;21;57;16;23;54;4
36;13;3;51;17;29;25
37;22;6;7;52;38;60
38;55;42;10;43;45;54
39;16;37;45;52;56;12
40;3;12;46;5;47;8
41;38;26;35;39;12;47
42;24;36;19;33;7;11
43;2;58;25;6;26;17
44;47;38;18;14;29;44
45;30;7;37;55;44;53
46;32;46;1;60;24;23
47;35;17;3;48;25;56
48;47;5;34;28;2;50
49;33;7;43;35;13;55
50;57;44;21;16;58;6
51;23;24;42;25;17;47
52;58;15;59;30;38;46
53;42;13;3;46;38;16
54;5;21;9;56;18;36
;;;;;;
55;29;2;14;38;23;52
56;51;35;59;7;20;2
57;27;17;16;34;7;59
58;30;49;27;37;12;44
59;28;13;34;2;8;54
60;38;14;21;15;3;20
61;59;8;18;29;42;44
62;52;13;6;24;8;31
63;26;9;41;49;25;40
64;8;54;50;60;23;12
65;20;1;5;32;25;34
66;15;26;12;33;48;13
67;47;14;27;52;17;12
68;53;13;3;1;12;59
69;56;58;34;53;25;45
70;40;17;23;43;27;58
71;53;16;45;43;33;27
72;19;48;43;1;34;44
73;57;25;45;28;51;26
74;2;24;34;50;38;37
75;36;49;37;35;24;21
76;33;18;23;8;17;53
77;29;54;40;57;49;21
78;22;32;46;12;25;31
79;43;25;2;13;31;17
80;51;40;37;23;48;28
81;47;41;10;60;54;23
82;51;36;53;29;18;15
83;24;16;4;42;57;15
84;10;34;4;6;25;40
85;47;15;30;37;45;6
86;54;21;6;34;36;22
87;40;4;28;32;11;5
88;45;37;29;4;43;18
89;59;42;34;13;44;55
90;21;26;40;54;9;52
91;60;4;10;35;39;2
92;5;23;51;3;1;24
93;22;53;31;28;2;36
94;28;51;55;18;52;8
95;46;60;6;40;50;45
96;4;42;58;26;7;40
97;56;53;11;14;5;35
98;43;33;14;31;35;13
99;30;33;24;11;46;60
100;46;48;30;14;29;51
101;39;1;37;31;29;18
102;44;42;37;56;19;20
103;9;1;57;7;54;49
104;13;1;38;21;52;4
105;3;13;31;43;46;49
106;24;16;38;5;39;35
107;2;24;52;4;16;51
108;60;29;34;24;21;59
109;54;13;44;49;48;1
110;57;58;18;31;43;52
111;52;32;4;33;25;22
112;37;43;34;20;12;42
113;34;54;26;28;55;7
114;47;54;18;6;12;37
115;6;14;24;20;4;38
116;36;42;32;5;13;51
117;53;42;27;20;33;25
118;22;57;37;9;25;56
119;47;21;1;50;36;38
120;46;45;16;40;27;3
121;53;41;44;2;29;55
122;20;43;39;11;53;17
123;13;42;16;32;14;26
124;52;5;34;57;15;41
125;56;47;25;59;53;41
126;32;28;6;10;11;40
